device_id,device_type,measure_time,serial_number,coordinates,temperature,oxygen_mpl,oxygen_per,oxygen_ppm,timestamp,date_time
wando01,Buoy,1731831041924,SN-PODOC-3833,"{'latitude': 34.38243103027344, 'longitude': 126.73636627197266}","{'value': 18.345138549804688, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:10:41.924,2024-11-17 08:10:41
wando01,Buoy,1731830977611,SN-PODOC-3833,"{'latitude': 34.38242721557617, 'longitude': 126.73636627197266}","{'value': 18.34418487548828, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:09:37.611,2024-11-17 08:09:37
wando01,Buoy,1731830913292,SN-PODOC-3833,"{'latitude': 34.38242721557617, 'longitude': 126.73636627197266}","{'value': 18.344125747680664, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:08:33.292,2024-11-17 08:08:33
wando01,Buoy,1731830848983,SN-PODOC-3833,"{'latitude': 34.38242721557617, 'longitude': 126.73636627197266}","{'value': 18.342782974243164, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:07:28.983,2024-11-17 08:07:28
wando01,Buoy,1731830784661,SN-PODOC-3833,"{'latitude': 34.38242721557617, 'longitude': 126.73636627197266}","{'value': 18.341529846191406, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:06:24.661,2024-11-17 08:06:24
wando01,Buoy,1731830720294,SN-PODOC-3833,"{'latitude': 34.38242721557617, 'longitude': 126.73636627197266}","{'value': 18.349464416503906, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:05:20.294,2024-11-17 08:05:20
wando01,Buoy,1731830655946,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73636627197266}","{'value': 18.346094131469727, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:04:15.946,2024-11-17 08:04:15
wando01,Buoy,1731830591613,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73636627197266}","{'value': 18.360111236572266, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:03:11.613,2024-11-17 08:03:11
wando01,Buoy,1731830527283,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73636627197266}","{'value': 18.3502082824707, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:02:07.283,2024-11-17 08:02:07
wando01,Buoy,1731830462965,SN-PODOC-3833,"{'latitude': 34.3824234008789, 'longitude': 126.73636627197266}","{'value': 18.347734451293945, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 08:01:02.965,2024-11-17 08:01:02
wando01,Buoy,1731830398662,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638153076172}","{'value': 18.345853805541992, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:59:58.662,2024-11-17 07:59:58
wando01,Buoy,1731830334355,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638153076172}","{'value': 18.346094131469727, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:58:54.355,2024-11-17 07:58:54
wando01,Buoy,1731830270043,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638153076172}","{'value': 18.343618392944336, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:57:50.043,2024-11-17 07:57:50
wando01,Buoy,1731830205722,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638153076172}","{'value': 18.345317840576172, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:56:45.722,2024-11-17 07:56:45
wando01,Buoy,1731830141403,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.3374137878418, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:55:41.403,2024-11-17 07:55:41
wando01,Buoy,1731830077075,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.345735549926758, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:54:37.075,2024-11-17 07:54:37
wando01,Buoy,1731830012742,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.318803787231445, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:53:32.742,2024-11-17 07:53:32
wando01,Buoy,1731829948425,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.302698135375977, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:52:28.425,2024-11-17 07:52:28
wando01,Buoy,1731829884096,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.29876136779785, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:51:24.096,2024-11-17 07:51:24
wando01,Buoy,1731829819771,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.29073715209961, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:50:19.771,2024-11-17 07:50:19
wando01,Buoy,1731829755464,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.298402786254883, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:49:15.464,2024-11-17 07:49:15
wando01,Buoy,1731829691115,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.29777717590332, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:48:11.115,2024-11-17 07:48:11
wando01,Buoy,1731829626803,SN-PODOC-3833,"{'latitude': 34.38243103027344, 'longitude': 126.73638916015625}","{'value': 18.30198097229004, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:47:06.803,2024-11-17 07:47:06
wando01,Buoy,1731829562463,SN-PODOC-3833,"{'latitude': 34.3824348449707, 'longitude': 126.73638916015625}","{'value': 18.3307933807373, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:46:02.463,2024-11-17 07:46:02
wando01,Buoy,1731829498162,SN-PODOC-3833,"{'latitude': 34.38243865966797, 'longitude': 126.73638916015625}","{'value': 18.334819793701172, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:44:58.162,2024-11-17 07:44:58
wando01,Buoy,1731829433832,SN-PODOC-3833,"{'latitude': 34.382450103759766, 'longitude': 126.73640441894531}","{'value': 18.34478187561035, 'unit': '°C'}","{'value': 0.0, 'unit': 'mg/L'}","{'value': 0.0, 'unit': '%'}",0.0,2024-11-17 07:43:53.832,2024-11-17 07:43:53
